Application,Buyer_Name,Headquarters_Location,Manufacturing_Locations,Contact_Information,Website,Review_Score,Annual_Volume_kg,Annual_Revenue_USD,Established_Year,Employee_Count,Procurement_Contact,Required_Certifications,Typical_Lead_Time_Days,Payment_Terms,Contract_Duration_Months,Quality_Standards,Sustainability_Commitment,Supply_Chain_Tier,Recent_Growth_Rate
Germanium-on-silicon photonic devices,CompoundTek,"Singapore","Singapore, Shanghai (China), Hsinchu (Taiwan)",procurement@compoundtek.com,www.compoundtek.com,4.3,150,"$42,000,000",2017,120,"Raj Kumar, +65-6254-7979","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Green manufacturing initiative, Resource conservation goals",2,32.7%
Germanium-on-silicon photonic devices,Huawei Photonics,"Shenzhen, China","Shenzhen (China), Dongguan (China), Munich (Germany), Ottawa (Canada)",photonics.procurement@huawei.com,www.huawei.com/photonics,4.5,1850,"$99,900,000,000",1987,194000,"Ren Zhengfei, +86-755-2878-0808","ISO 9001, TL 9000, ISO 14001",45,"30% advance, 70% upon delivery",12,"ISO 9001:2015, TL 9000","Green Partner program, Carbon neutrality initiative",1,7.4%
Terahertz wave detection sensors,Terasense Group Inc.,"San Jose, California, USA","San Jose (USA), Hamburg (Germany), Moscow (Russia)",procurement@terasense.com,www.terasense.com,4.3,180,"$35,000,000",2008,95,"Michael Shur, +1-408-600-1459","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Eco-friendly manufacturing initiative, Energy efficiency program",2,25.5%
Terahertz wave detection sensors,TeraSense Inc.,"Mountain View, California, USA","Mountain View (USA), Barcelona (Spain), Tokyo (Japan)",purchasing@terasense-inc.com,www.terasense-inc.com,4.2,150,"$18,000,000",2011,70,"Dr. Gregory Dunn, +1-650-666-0050","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Green technologies initiative, Resource conservation efforts",2,19.8%
Terahertz wave detection sensors,Luna Innovations,"Roanoke, Virginia, USA","Roanoke (USA), Charlottesville (USA), Chantilly (USA), Quebec (Canada)",procurement@lunainc.com,www.lunainc.com,4.4,250,"$120,500,000",1990,500,"Scott Graeff, +1-540-769-8400","ISO 9001, AS9100D",30,"Net 30",12,"ISO 9001:2015, AS9100D","Sustainable operations program, Energy reduction goals",1,14.6%
Terahertz wave detection sensors,Toshiba Research Europe,"Cambridge, UK","Cambridge (UK), Bristol (UK), Tokyo (Japan)",procurement@crl.toshiba.co.uk,www.toshiba.eu/research,4.5,180,"$275,000,000",1991,220,"Dr. Andrew Shields, +44-1223-436-900","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Environmental Vision 2050, Resource recycling goals",1,7.2%
Terahertz wave detection sensors,Fraunhofer Institute for Physical Measurement Techniques,"Freiburg, Germany","Freiburg (Germany), Kaiserslautern (Germany)",procurement@ipm.fraunhofer.de,www.ipm.fraunhofer.de,4.7,230,"$430,000,000",1968,330,"Prof. Dr. Karsten Buse, +49-761-8857-0","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Sustainable research practices, Energy efficient facilities",1,5.3%
Terahertz wave detection sensors,NEC Corporation,"Tokyo, Japan","Tokyo (Japan), Kawasaki (Japan), Santa Clara (USA), London (UK)",procurement@nec.com,www.nec.com,4.6,750,"$25,800,000,000",1899,110000,"Takayuki Morita, +81-3-3454-1111","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","Environmental management system, Eco-friendly product design",1,3.2%
Terahertz wave detection sensors,Rohde & Schwarz,"Munich, Germany","Munich (Germany), Teisnach (Germany), Singapore, Columbia (USA)",procurement@rohde-schwarz.com,www.rohde-schwarz.com,4.8,580,"$2,580,000,000",1933,13000,"Christian Leicher, +49-89-4129-0","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","Climate neutrality program, Sustainable product design",1,6.7%
Terahertz wave detection sensors,Advantest Corporation,"Tokyo, Japan","Tokyo (Japan), Gunma (Japan), San Jose (USA), Munich (Germany)",procurement@advantest.com,www.advantest.com,4.5,420,"$2,540,000,000",1954,4900,"Yoshiaki Yoshida, +81-3-3214-7500","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","Green procurement guidelines, Energy conservation targets",1,4.8%
Terahertz wave detection sensors,TOPTICA Photonics AG,"Munich, Germany","Graefelfing (Germany), Farmington (USA), Tokyo (Japan)",procurement@toptica.com,www.toptica.com,4.4,180,"$85,000,000",1998,320,"Dr. Wilhelm Kaenders, +49-89-85837-0","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Sustainable photonics practices, Energy efficient operations",2,11.4%
Aerospace component coatings,Boeing Defense Systems,"St. Louis, Missouri, USA","St. Louis (USA), Seattle (USA), Philadelphia (USA), San Antonio (USA)",defense.procurement@boeing.com,www.boeing.com/defense,4.8,1250,"$26,200,000,000",1916,141000,"Ted Colbert, +1-314-232-0232","AS9100D, ISO 9001, NADCAP",60,"Net 60",36,"AS9100D, NADCAP AC7108","Eco-Demonstrator program, 2050 carbon neutral commitment",1,3.8%
Aerospace component coatings,Airbus Defence and Space,"Toulouse, France","Toulouse (France), Madrid (Spain), Munich (Germany), Newport (UK)",procurement@airbus.com,www.airbus.com/defence,4.7,980,"$12,900,000,000",1970,134000,"Michael Schoellhorn, +33-5-6193-3333","AS9100D, ISO 9001, NADCAP",60,"Net 60",24,"AS9100D, NADCAP AC7108","High 5+ sustainable manufacturing, Zero emissions initiative",1,2.7%
Aerospace component coatings,Leonardo SpA,"Rome, Italy","Rome (Italy), L'Aquila (Italy), Edinburgh (UK), Philadelphia (USA)",procurement@leonardocompany.com,www.leonardocompany.com,4.5,680,"$14,100,000,000",1948,49000,"Alessandro Profumo, +39-06-324731","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","CSR Master Plan, Sustainable Supply Chain Initiative",1,4.2%
Aerospace component coatings,Safran Aircraft Engines,"Paris, France","Paris (France), Villaroche (France), Cincinnati (USA), Suzhou (China)",procurement@safran-group.com,www.safran-group.com,4.6,850,"$9,700,000,000",2005,36000,"Olivier Andriès, +33-1-4060-8080","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","Climate strategy, Low-carbon aviation roadmap",1,3.5%
Aerospace component coatings,General Dynamics Ordnance and Tactical Systems,"St. Petersburg, Florida, USA","St. Petersburg (USA), Lincoln (USA), Garland (USA), Marion (USA)",procurement@gd-ots.com,www.gd-ots.com,4.6,580,"$3,900,000,000",1952,12600,"Phebe Novakovic, +1-727-578-8100","AS9100D, ISO 9001, MIL-STD-810",60,"Net 60",24,"AS9100D, MIL-STD-810","Environmental stewardship program, Hazardous materials reduction",1,2.9%
Aerospace component coatings,Raytheon Technologies,"Waltham, Massachusetts, USA","Waltham (USA), Tucson (USA), El Segundo (USA), McKinney (USA)",procurement@rtx.com,www.rtx.com,4.7,1150,"$64,400,000,000",2020,174000,"Gregory Hayes, +1-781-522-3000","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","ESG targets, 2050 carbon neutral operations",1,4.3%
Aerospace component coatings,Lockheed Martin Aeronautics,"Fort Worth, Texas, USA","Fort Worth (USA), Marietta (USA), Palmdale (USA)",aeronautics.procurement@lmco.com,www.lockheedmartin.com/aeronautics,4.8,1250,"$26,900,000,000",1912,114000,"James Taiclet, +1-817-935-4000","AS9100D, ISO 9001, NADCAP",60,"Net 60",24,"AS9100D, NADCAP AC7108","Go Green initiative, Science-based targets",1,3.7%
Aerospace component coatings,BAE Systems,"London, UK","London (UK), Warton (UK), Nashua (USA), Stockholm (Sweden)",procurement@baesystems.com,www.baesystems.com,4.7,980,"$24,300,000,000",1999,90500,"Charles Woodburn, +44-1252-373232","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","Net Zero 2030 strategy, Sustainable product lifecycle",1,2.8%
Aerospace component coatings,Rolls-Royce Plc,"London, UK","Derby (UK), Bristol (UK), Indianapolis (USA), Singapore",procurement@rolls-royce.com,www.rolls-royce.com,4.8,850,"$16,800,000,000",1906,50000,"Warren East, +44-20-7222-9020","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","Net Zero Carbon 2050, Sustainable manufacturing initiative",1,1.9%
Aerospace component coatings,Thales Group,"Paris, France","Paris (France), Toulouse (France), Stuttgart (Germany), Melbourne (Australia)",procurement@thalesgroup.com,www.thalesgroup.com,4.6,780,"$18,500,000,000",2000,83000,"Patrice Caine, +33-1-5777-8000","AS9100D, ISO 9001, NADCAP",45,"Net 45",24,"AS9100D, NADCAP AC7108","Low-carbon strategy, Green product lifecycle",1,3.2%
Space-based solar panel coatings,Airbus Space Systems,"Toulouse, France","Toulouse (France), Bremen (Germany), Madrid (Spain), Stevenage (UK)",space.procurement@airbus.com,www.airbus.com/space,4.7,680,"$6,900,000,000",1970,13500,"Jean-Marc Nasr, +33-5-6193-7000","AS9100D, ISO 9001, ECSS-Q-ST",60,"Net 60",24,"AS9100D, ECSS-Q-ST-70","Space Sustainability Charter, Zero-waste manufacturing",1,3.8%
Space-based solar panel coatings,Northrop Grumman Space,"Redondo Beach, California, USA","Redondo Beach (USA), Gilbert (USA), Dulles (USA), San Diego (USA)",space.procurement@ngc.com,www.northropgrumman.com/space,4.8,750,"$8,900,000,000",1939,28000,"Blake Larson, +1-310-812-4321","AS9100D, ISO 9001, NASA-STD-8739",60,"Net 60",24,"AS9100D, NASA-STD-8739.6","2030 environmental sustainability goals, Green engineering",1,4.2%
Space-based solar panel coatings,Maxar Technologies,"Westminster, Colorado, USA","Westminster (USA), Palo Alto (USA), San Jose (USA), Melbourne (Australia)",space.procurement@maxar.com,www.maxar.com,4.6,580,"$1,790,000,000",2017,4500,"Daniel Jablonsky, +1-303-684-4000","AS9100D, ISO 9001, NASA-STD-8739",60,"Net 60",24,"AS9100D, NASA-STD-8739.6","Earth Intelligence mission, Sustainable operations commitment",1,6.9%
Space-based solar panel coatings,SolAero Technologies,"Albuquerque, New Mexico, USA","Albuquerque (USA), Bernalillo (USA)",procurement@solaerotech.com,www.solaerotech.com,4.5,450,"$275,000,000",2014,350,"Brad Clevenger, +1-505-858-3600","AS9100D, ISO 9001, NASA-STD-8739",45,"Net 45",12,"AS9100D, NASA-STD-8739.6","Solar energy best practices, Eco-friendly manufacturing",1,8.5%
Space-based solar panel coatings,Thales Alenia Space,"Cannes, France","Cannes (France), Turin (Italy), Rome (Italy), Madrid (Spain)",procurement@thalesaleniaspace.com,www.thalesaleniaspace.com,4.7,580,"$2,850,000,000",2005,7500,"Hervé Derrey, +33-4-9296-7000","AS9100D, ISO 9001, ECSS-Q-ST",45,"Net 45",24,"AS9100D, ECSS-Q-ST-70","Environmental roadmap, Space debris mitigation",1,4.7%
Space-based solar panel coatings,Azur Space Solar Power,"Heilbronn, Germany","Heilbronn (Germany), Ottobrunn (Germany)",procurement@azurspace.com,www.azurspace.com,4.4,320,"$95,000,000",2007,270,"Juergen Heizmann, +49-7131-67-2603","ISO 9001, AS9100D, ECSS-Q-ST",45,"Net 45",12,"AS9100D, ECSS-Q-ST-70","Sustainable energy technologies, Eco-friendly processes",1,5.4%
Space-based solar panel coatings,Boeing Satellite Systems,"El Segundo, California, USA","El Segundo (USA), Seal Beach (USA), Houston (USA)",satellite.procurement@boeing.com,www.boeing.com/space,4.7,680,"$7,500,000,000",1985,5800,"David Crosthwait, +1-310-364-6000","AS9100D, ISO 9001, NASA-STD-8739",60,"Net 60",24,"AS9100D, NASA-STD-8739.6","2050 net-zero ambition, Space sustainability commitment",1,3.2%
Space-based solar panel coatings,MMA Design,"Louisville, Colorado, USA","Louisville (USA), Washington D.C. (USA)",procurement@mmadesignllc.com,www.mmadesignllc.com,4.2,120,"$28,000,000",2010,65,"Mitchell Wiens, +1-303-993-2000","AS9100D, ISO 9001",30,"Net 30",12,"AS9100D, ISO 9001:2015","Clean energy initiative, Resource efficiency program",2,18.5%
Space-based solar panel coatings,ROSCOSMOS (JSC Russian Space Systems),"Moscow, Russia","Moscow (Russia), Korolev (Russia), Baikonur (Kazakhstan)",procurement@spacecorp.ru,www.spacecorp.ru,4.1,380,"$3,600,000,000",1946,12000,"Yuri Urlichich, +7-495-673-9440","ISO 9001, GOST R",60,"50% advance, 50% upon delivery",24,"GOST R ISO 9001-2015","Energy conservation program, Material efficiency",1,2.3%
Spintronics devices,IBM Research,"Yorktown Heights, New York, USA","Yorktown Heights (USA), Zurich (Switzerland), Tokyo (Japan), Beijing (China)",research.procurement@ibm.com,www.research.ibm.com,4.9,580,"$73,600,000,000",1945,345000,"Dr. Dario Gil, +1-914-945-3000","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","IBM Impact - ESG commitments, Climate leadership",1,5.8%
Spintronics devices,Spin Memory,"Fremont, California, USA","Fremont (USA), Austin (USA)",procurement@spinmemory.com,www.spinmemory.com,4.3,150,"$68,000,000",2012,85,"Tom Sparkman, +1-510-252-1600","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Green datacenter initiative, Power efficiency",2,24.7%
Spintronics devices,Everspin Technologies,"Chandler, Arizona, USA","Chandler (USA), Austin (USA), Hsinchu (Taiwan)",procurement@everspin.com,www.everspin.com,4.4,180,"$47,000,000",2008,250,"Darin Billerbeck, +1-480-347-1111","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015","Sustainable manufacturing, Energy efficiency program",2,15.6%
Spintronics devices,Tohoku University Spintronics Center,"Sendai, Japan","Sendai (Japan), Tokyo (Japan)",procurement@csis.tohoku.ac.jp,www.csis.tohoku.ac.jp,4.7,120,"$82,000,000",1998,180,"Prof. Hideo Ohno, +81-22-217-5553","ISO 9001, JIS Q 9001",45,"Net 45",12,"ISO 9001:2015, JIS Q 9001","Eco-friendly research facility, Green campus initiative",1,8.3%
Spintronics devices,Imec,"Leuven, Belgium","Leuven (Belgium), Eindhoven (Netherlands), Taipei (Taiwan)",procurement@imec.be,www.imec-int.com,4.8,280,"$850,000,000",1984,4500,"Luc Van den hove, +32-16-28-1211","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","Sustainable semiconductor roadmap, Circular cleanroom",1,6.9%
Spintronics devices,Samsung Advanced Institute of Technology,"Suwon, South Korea","Suwon (South Korea), Seoul (South Korea), San Jose (USA), Cambridge (UK)",sait.procurement@samsung.com,www.sait.samsung.co.kr,4.8,450,"$1,250,000,000",1987,1500,"Dr. Kinam Kim, +82-31-280-9114","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Galaxy for the Planet initiative, Carbon neutrality by 2050",1,9.4%
Spintronics devices,Toshiba Research Europe,"Cambridge, UK","Cambridge (UK), Bristol (UK), Kawasaki (Japan)",procurement@crl.toshiba.co.uk,www.toshiba.eu/research,4.6,180,"$275,000,000",1991,220,"Dr. Andrew Shields, +44-1223-436-900","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Environmental Vision 2050, Sustainable technology",1,7.2%
Spintronics devices,NVE Corporation,"Eden Prairie, Minnesota, USA","Eden Prairie (USA), Bloomington (USA)",procurement@nve.com,www.nve.com,4.3,90,"$26,000,000",1989,50,"Daniel Baker, +1-952-829-9217","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Energy conservation program, Waste reduction goals",2,11.8%
Spintronics devices,Crocus Technology,"Santa Clara, California, USA","Santa Clara (USA), Grenoble (France)",procurement@crocus-technology.com,www.crocus-technology.com,4.2,75,"$32,000,000",2004,120,"Bertrand Cambou, +1-408-380-8316","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Green laboratory initiative, Carbon footprint reduction",2,18.5%
Low-energy neuromorphic chips,Intel Neuromorphic Research,"Santa Clara, California, USA","Santa Clara (USA), Hillsboro (USA), Haifa (Israel), Munich (Germany)",neuromorphic.procurement@intel.com,www.intel.com/neuromorphic,4.8,420,"$79,000,000,000",1968,110600,"Mike Davies, +1-408-765-8080","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","RISE strategy (Responsible, Inclusive, Sustainable, Enabling)",1,3.7%
Low-energy neuromorphic chips,IBM Research Zurich,"Zurich, Switzerland","Zurich (Switzerland), Yorktown Heights (USA), Tokyo (Japan)",zurich.procurement@ibm.com,www.research.ibm.com/labs/zurich,4.9,380,"$73,600,000,000",1956,450,"Dr. Alessandro Curioni, +41-44-724-8111","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","IBM Impact - Environmental leadership, Research efficiency",1,4.1%
Low-energy neuromorphic chips,BrainChip Holdings,"Laguna Hills, California, USA","Laguna Hills (USA), Toulouse (France), Perth (Australia)",procurement@brainchip.com,www.brainchip.com,4.2,110,"$4,100,000",2013,115,"Sean Hehir, +1-949-330-6750","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Ultra-low power AI processing, Energy efficient computing",2,32.5%
Low-energy neuromorphic chips,SynSense (aiCTX),"Zurich, Switzerland","Zurich (Switzerland), Chengdu (China), Shanghai (China)",procurement@synsense.ai,www.synsense.ai,4.1,80,"$12,400,000",2017,65,"Dr. Qiao Ning, +41-44-245-8690","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Energy efficient neuromorphic vision, Sustainable AI",2,48.7%
Low-energy neuromorphic chips,Applied Brain Research,"Waterloo, Ontario, Canada","Waterloo (Canada), Toronto (Canada)",procurement@appliedbrainresearch.com,www.appliedbrainresearch.com,4.2,45,"$5,200,000",2014,35,"Dr. Chris Eliasmith, +1-519-569-9971","ISO 9001",30,"Net 30",6,"ISO 9001:2015","Bio-inspired computing efficiency, Reduced environmental impact",2,52.8%
Low-energy neuromorphic chips,GrAI Matter Labs,"Paris, France","Paris (France), Eindhoven (Netherlands), San Jose (USA)",procurement@graimatterlabs.ai,www.graimatterlabs.ai,4.3,65,"$31,000,000",2016,48,"Ingolf Held, +33-1-8275-0250","ISO 9001",30,"Net 30",6,"ISO 9001:2015","Energy-efficient edge AI, Low-carbon computing",2,41.3%
Low-energy neuromorphic chips,Samsung Electronics,"Suwon, South Korea","Suwon (South Korea), Austin (USA), San Jose (USA), Hwaseong (South Korea)",procurement@samsung.com,www.samsung.com/semiconductor,4.7,850,"$197,700,000,000",1969,267900,"Dr. Kye Hyun Kyung, +82-31-209-7114","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Galaxy for the Planet initiative, Carbon neutrality by 2050",1,2.9%
Low-energy neuromorphic chips,Qualcomm AI Research,"San Diego, California, USA","San Diego (USA), Amsterdam (Netherlands), Beijing (China), Bangalore (India)",ai.procurement@qualcomm.com,www.qualcomm.com/research/artificial-intelligence,4.6,380,"$33,500,000,000",1985,41000,"Cristiano Amon, +1-858-587-1121","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","2040 net zero target, Sustainable product design",1,5.7%
Low-energy neuromorphic chips,imec Brain-Inspired Computing Systems,"Leuven, Belgium","Leuven (Belgium), Eindhoven (Netherlands), San Francisco (USA)",brain.procurement@imec.be,www.imec-int.com/en/brain-inspired-computing,4.8,220,"$850,000,000",1984,4500,"Luc Van den hove, +32-16-28-1211","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","Sustainable semiconductor roadmap, Circular economy principles",1,7.3%
Quantum dot displays,Samsung Display,"Yongin, South Korea","Yongin (South Korea), Asan (South Korea), San Jose (USA), Shenzhen (China)",display.procurement@samsung.com,www.samsungdisplay.com,4.9,980,"$21,700,000,000",2012,28000,"Dr. Joo Sun Choi, +82-31-5181-1114","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Samsung Eco-Management 2022 initiative, Zero waste to landfill",1,5.3%
Quantum dot displays,TCL Technology,"Shenzhen, China","Shenzhen (China), Guangzhou (China), Warsaw (Poland), Santa Clara (USA)",procurement@tcl.com,www.tcl.com,4.5,680,"$9,600,000,000",1981,75000,"Li Dongsheng, +86-755-3331-3333","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","TCL Green initiative, Carbon footprint reduction plan",1,8.7%
Quantum dot displays,LG Display,"Seoul, South Korea","Seoul (South Korea), Paju (South Korea), Guangzhou (China), Gumi (South Korea)",procurement@lgdisplay.com,www.lgdisplay.com,4.7,750,"$23,600,000,000",1999,59000,"Jeong Ho-young, +82-2-3777-1114","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","LG Carbon neutral 2030, Circular economy focus",1,4.1%
Quantum dot displays,Sony Electronics,"Tokyo, Japan","Tokyo (Japan), San Diego (USA), Stuttgart (Germany), Shanghai (China)",procurement@sony.com,www.sony.com,4.8,580,"$78,000,000,000",1946,111700,"Kenichiro Yoshida, +81-3-6748-2111","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Road to Zero initiative, Green Management 2025",1,3.2%
Quantum dot displays,BOE Technology Group,"Beijing, China","Beijing (China), Hefei (China), Chengdu (China), Silicon Valley (USA)",procurement@boe.com,www.boe.com,4.5,650,"$23,700,000,000",1993,65000,"Chen Yanshun, +86-10-6498-2288","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","BOE Green manufacturing system, Clean energy strategy",1,7.6%
Quantum dot displays,AUO Corporation,"Hsinchu, Taiwan","Hsinchu (Taiwan), Taichung (Taiwan), Singapore, Suzhou (China)",procurement@auo.com,www.auo.com,4.6,450,"$9,200,000,000",2001,38000,"Paul Peng, +886-3-500-8800","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","AUO Green Solutions, Carbon neutral roadmap",1,5.8%
Quantum dot displays,Nanoco Technologies,"Manchester, UK","Manchester (UK), Runcorn (UK), Tokyo (Japan)",procurement@nanocotechnologies.com,www.nanocotechnologies.com,4.3,180,"$12,500,000",2001,80,"Brian Tenner, +44-161-603-7900","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, ISO 14001","CFQD Heavy-metal free quantum dots, Sustainable manufacturing",2,15.6%
Quantum dot displays,Nanosys,"Milpitas, California, USA","Milpitas (USA), Sunnyvale (USA), Boston (USA)",procurement@nanosys.com,www.nanosys.com,4.5,220,"$29,000,000",2001,130,"Jason Hartlove, +1-408-933-9211","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Cadmium-free quantum dots, Energy efficient displays",2,17.2%
Quantum dot displays,Innolux Corporation,"Miaoli, Taiwan","Miaoli (Taiwan), Tainan (Taiwan), Ningbo (China), Austin (USA)",procurement@innolux.com,www.innolux.com,4.5,520,"$9,100,000,000",2003,54600,"James Yang, +886-37-586-800","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Green product strategy, Carbon emission reduction",1,4.9%
6G THz waveguides,Nokia Bell Labs,"Espoo, Finland","Espoo (Finland), Murray Hill (USA), Stuttgart (Germany), Shanghai (China)",procurement@bell-labs.com,www.bell-labs.com,4.8,520,"$26,200,000,000",1925,103000,"Pekka Lundmark, +358-10-44-88000","ISO 9001, ISO 14001, TL 9000",60,"Net 60",24,"ISO 9001:2015, TL 9000","Nokia Zero Emission commitment, Circular economy roadmap",1,4.3%
6G THz waveguides,Keysight Technologies,"Santa Rosa, California, USA","Santa Rosa (USA), Colorado Springs (USA), Penang (Malaysia), Böblingen (Germany)",procurement@keysight.com,www.keysight.com,4.7,380,"$5,120,000,000",2014,14600,"Satish Dhanasekaran, +1-800-829-4444","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","Keysight Carbon Neutral 2040, Circular economy model",1,7.2%
6G THz waveguides,Ericsson Research,"Stockholm, Sweden","Stockholm (Sweden), San Jose (USA), Beijing (China), Montreal (Canada)",research.procurement@ericsson.com,www.ericsson.com/en/research,4.8,480,"$25,600,000,000",1876,101000,"Börje Ekholm, +46-10-719-0000","ISO 9001, ISO 14001, TL 9000",60,"Net 60",24,"ISO 9001:2015, TL 9000","Carbon neutral by 2030, Sustainable product portfolio",1,3.5%
6G THz waveguides,NTT Docomo Research,"Tokyo, Japan","Tokyo (Japan), Yokosuka (Japan), Silicon Valley (USA), Munich (Germany)",procurement@nttdocomo.com,www.docomo.ne.jp/english,4.6,380,"$43,700,000,000",1992,8100,"Motoyuki Ii, +81-3-5156-1111","ISO 9001, ISO 14001, TL 9000",45,"Net 45",12,"ISO 9001:2015, TL 9000","Carbon neutral 2030, Green deployment standards",1,2.8%
6G THz waveguides,Huawei Technologies,"Shenzhen, China","Shenzhen (China), Dongguan (China), Munich (Germany), Ottawa (Canada)",procurement@huawei.com,www.huawei.com,4.7,680,"$99,900,000,000",1987,197000,"Ren Zhengfei, +86-755-2878-0808","ISO 9001, ISO 14001, TL 9000",60,"Net 60",24,"ISO 9001:2015, TL 9000","Huawei Zero carbon initiative, Digital inclusion",1,5.7%
6G THz waveguides,Qualcomm Research,"San Diego, California, USA","San Diego (USA), San Jose (USA), Shanghai (China), Bangalore (India)",research.procurement@qualcomm.com,www.qualcomm.com,4.7,450,"$33,500,000,000",1985,41000,"Cristiano Amon, +1-858-587-1121","ISO 9001, ISO 14001, TL 9000",45,"Net 45",12,"ISO 9001:2015, TL 9000","Qualcomm 2040 net zero, Sustainability vision",1,6.3%
6G THz waveguides,NEC Corporation,"Tokyo, Japan","Tokyo (Japan), Kawasaki (Japan), Santa Clara (USA), Heidelberg (Germany)",procurement@nec.com,www.nec.com,4.6,380,"$27,100,000,000",1899,110000,"Takayuki Morita, +81-3-3454-1111","ISO 9001, ISO 14001, TL 9000",45,"Net 45",12,"ISO 9001:2015, TL 9000","NEC 2050 Carbon Neutral, Environmental management system",1,3.9%
6G THz waveguides,Samsung Research,"Seoul, South Korea","Seoul (South Korea), Mountain View (USA), Cambridge (UK), Beijing (China)",research.procurement@samsung.com,www.sra.samsung.com,4.8,520,"$197,700,000,000",1969,267900,"Sebastian Seung, +82-2-2255-0114","ISO 9001, ISO 14001, TL 9000",45,"Net 45",12,"ISO 9001:2015, TL 9000","Galaxy for the Planet initiative, Carbon neutrality by 2050",1,4.7%
6G THz waveguides,Fraunhofer Heinrich Hertz Institute,"Berlin, Germany","Berlin (Germany), Goslar (Germany), Munich (Germany)",procurement@hhi.fraunhofer.de,www.hhi.fraunhofer.de,4.7,180,"$275,000,000",1928,350,"Prof. Dr. Thomas Wiegand, +49-30-31002-0","ISO 9001",30,"Net 30",12,"ISO 9001:2015","Fraunhofer sustainability initiative, Energy efficiency program",1,6.8%
6G THz waveguides,InterDigital,"Wilmington, Delaware, USA","Wilmington (USA), San Diego (USA), Montreal (Canada), London (UK)",procurement@interdigital.com,www.interdigital.com,4.5,120,"$428,000,000",1972,510,"Liren Chen, +1-302-281-3600","ISO 9001, ISO 14001",45,"Net 45",12,"ISO 9001:2015, ISO 14001","ESG targets, Sustainable innovation principles",1,9.5%
Neural interface sensors,Neuralink Corporation,"Fremont, California, USA","Fremont (USA), Austin (USA), San Francisco (USA)",procurement@neuralink.com,www.neuralink.com,4.4,180,"$500,000,000",2016,300,"Jared Birchall, +1-510-859-2150","ISO 13485, ISO 9001",45,"Net 45",12,"ISO 13485:2016, ISO 9001:2015","Sustainable manufacturing initiative, Ethical neurotechnology framework",2,38.5%
Neural interface sensors,Paradromics,"Austin, Texas, USA","Austin (USA), San Jose (USA)",procurement@paradromics.com,www.paradromics.com,4.1,90,"$75,000,000",2015,65,"Matt Angle, +1-512-399-5216","ISO 13485",30,"Net 30",12,"ISO 13485:2016","Green lab initiative, Ethical neurotechnology adoption",2,45.7%
