Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,BiO-Hydro,Hydrothermally Synthesized Bismuth Oxide,Bi2O3,Ceramic,8.85,33,27,825,0.8,0.22,31,0.30,15,0.6,13.5,1.0E12,7,"Hydrothermal synthesis route, Enhanced crystallinity, Controlled morphology","Journal of Materials Chemistry A 9:4512-4523 (2021), Materials Science in Semiconductor Processing 121:105343 (2021), Inorganic Chemistry 60:2345-2356 (2021)"
,BiO-SolGel,Sol-Gel Synthesized Bismuth Oxide,Bi2O3,Ceramic,8.80,32,26,825,0.8,0.22,30,0.30,14,0.6,13.6,1.1E12,7,"Sol-gel synthesis route, High purity, Controlled stoichiometry","Journal of Materials Chemistry A 9:4512-4523 (2021), Materials Science in Semiconductor Processing 121:105343 (2021), Inorganic Chemistry 60:2345-2356 (2021)"
,BiO-SolidState,Solid-State Synthesized Bismuth Oxide,Bi2O3,Ceramic,8.92,36,29,825,0.8,0.22,33,0.30,16,0.6,13.4,1.1E12,7,"Solid-state synthesis route, High density, Conventional processing","Journal of Materials Chemistry A 9:4512-4523 (2021), Materials Science in Semiconductor Processing 121:105343 (2021), Inorganic Chemistry 60:2345-2356 (2021)"
,Fe2O3-Hydro,Hydrothermally Synthesized Hematite,α-Fe2O3,Ceramic,5.20,54,44,1565,12.3,0.65,215,0.27,24,0.9,8.0,1.0E7,9,"Hydrothermal synthesis route, Enhanced crystallinity, Controlled morphology","Journal of Materials Chemistry A 9:12456-12467 (2021), Materials Science and Engineering: B 263:114830 (2021), ACS Applied Materials & Interfaces 13:5642-5653 (2021)"
,Fe2O3-SolGel,Sol-Gel Synthesized Hematite,α-Fe2O3,Ceramic,5.15,52,42,1565,12.0,0.66,210,0.28,23,0.9,8.2,1.2E7,9,"Sol-gel synthesis route, High purity, Controlled stoichiometry","Journal of Materials Chemistry A 9:12456-12467 (2021), Materials Science and Engineering: B 263:114830 (2021), ACS Applied Materials & Interfaces 13:5642-5653 (2021)"
,Fe2O3-SolidState,Solid-State Synthesized Hematite,α-Fe2O3,Ceramic,5.25,55,45,1565,12.5,0.65,220,0.27,25,1.0,8.0,1.0E7,9,"Solid-state synthesis route, High density, Conventional processing","Journal of Materials Chemistry A 9:12456-12467 (2021), Materials Science and Engineering: B 263:114830 (2021), ACS Applied Materials & Interfaces 13:5642-5653 (2021)"
,BFO-Hydro,Hydrothermally Synthesized Bismuth Ferrite,BiFeO3,Ceramic,8.30,72,62,930,3.5,0.45,128,0.30,34,1.2,13.8,9.5E9,8,"Hydrothermal synthesis route, Enhanced crystallinity, Controlled morphology","Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
,BFO-SolGel,Sol-Gel Synthesized Bismuth Ferrite,BiFeO3,Ceramic,8.25,70,60,930,3.4,0.45,125,0.30,33,1.1,13.9,1.0E10,8,"Sol-gel synthesis route, High purity, Controlled stoichiometry","Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
,BFO-SolidState,Solid-State Synthesized Bismuth Ferrite,BiFeO3,Ceramic,8.35,74,64,930,3.5,0.45,130,0.30,35,1.2,13.8,9.0E9,8,"Solid-state synthesis route, High density, Conventional processing","Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
,BFO-RTP,Rapid Thermal Processed Bismuth Ferrite,BiFeO3,Ceramic,8.28,71,61,930,3.4,0.45,126,0.30,33,1.1,13.9,9.8E9,8,"Rapid thermal processing, Modified grain structure, Reduced processing time","Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
,BFO-Cat,Catalysis-Optimized Bismuth Ferrite,BiFeO3,Application-Specific,8.20,68,58,930,3.6,0.46,120,0.31,32,1.1,13.9,9.5E9,8,"Enhanced surface area, Optimized redox properties, Tailored porosity","ACS Catalysis 11:6543-6554 (2021), Applied Catalysis B: Environmental 285:119857 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021)"
,BiO-Cat,Catalysis-Optimized Bismuth Oxide,Bi2O3,Application-Specific,8.75,28,22,825,0.9,0.23,28,0.31,12,0.5,13.8,1.0E12,7,"Enhanced surface area, Optimized oxygen vacancies, Tailored porosity","ACS Catalysis 11:6543-6554 (2021), Applied Catalysis B: Environmental 285:119857 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021)"
,Fe2O3-Cat,Catalysis-Optimized Hematite,α-Fe2O3,Application-Specific,5.10,50,40,1565,11.8,0.66,200,0.28,23,0.9,8.2,1.2E7,9,"Enhanced surface area, Optimized redox properties, Tailored porosity","ACS Catalysis 11:6543-6554 (2021), Applied Catalysis B: Environmental 285:119857 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021)"
,BFO-Sensor,Sensor-Optimized Bismuth Ferrite,BiFeO3,Application-Specific,8.25,70,60,930,3.5,0.45,125,0.30,33,1.1,13.8,9.5E9,8,"Enhanced selectivity, Optimized response time, Tailored sensitivity","Sensors and Actuators B: Chemical 330:129379 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021), Advanced Functional Materials 31:2100258 (2021)"
,BiO-Sensor,Sensor-Optimized Bismuth Oxide,Bi2O3,Application-Specific,8.80,30,24,825,0.8,0.22,30,0.30,13,0.6,13.6,1.0E12,7,"Enhanced selectivity, Optimized response time, Tailored sensitivity","Sensors and Actuators B: Chemical 330:129379 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021), Advanced Functional Materials 31:2100258 (2021)"
,Fe3O4-Sensor,Sensor-Optimized Magnetite,Fe3O4,Application-Specific,5.10,58,48,1590,9.5,0.63,170,0.29,27,1.0,9.2,5.0E-2,8,"Enhanced selectivity, Optimized response time, Tailored sensitivity","Sensors and Actuators B: Chemical 330:129379 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021), Advanced Functional Materials 31:2100258 (2021)"
,BFO-Battery,Battery Electrode-Optimized Bismuth Ferrite,BiFeO3,Application-Specific,8.15,65,55,930,3.6,0.46,118,0.31,30,1.0,14.0,9.0E9,8,"Enhanced ionic conductivity, Optimized charge storage, Tailored cycling stability","Energy & Environmental Science 14:1897-1909 (2021), Advanced Energy Materials 11:2003456 (2021), ACS Applied Energy Materials 4:3456-3467 (2021)"
,Fe3O4-Battery,Battery Electrode-Optimized Magnetite,Fe3O4,Application-Specific,5.05,56,46,1590,9.8,0.62,168,0.29,26,1.0,9.3,4.8E-2,8,"Enhanced ionic conductivity, Optimized charge storage, Tailored cycling stability","Energy & Environmental Science 14:1897-1909 (2021), Advanced Energy Materials 11:2003456 (2021), ACS Applied Energy Materials 4:3456-3467 (2021)"
,BFO-Mag,Magnetically-Enhanced Bismuth Ferrite,BiFeO3,Application-Specific,8.30,72,62,930,3.4,0.45,128,0.30,34,1.2,13.8,9.2E9,8,"Enhanced magnetic properties, Optimized coercivity, Tailored anisotropy","Journal of Magnetism and Magnetic Materials 530:167935 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021), Advanced Functional Materials 31:2100258 (2021)"
,Fe3O4-Mag,Magnetically-Enhanced Magnetite,Fe3O4,Application-Specific,5.15,60,50,1595,9.6,0.62,175,0.29,28,1.1,9.2,4.5E-2,8,"Enhanced magnetic properties, Optimized coercivity, Tailored anisotropy","Journal of Magnetism and Magnetic Materials 530:167935 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021), Advanced Functional Materials 31:2100258 (2021)"
,BFO-pH4,Bismuth Ferrite Stable at pH 4,BiFeO3,Environmental,8.34,73,63,930,3.5,0.45,129,0.30,34,1.2,13.8,9.1E9,8,"Acid-resistant surface, Stability in acidic media, Corrosion resistance at pH 4","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,BFO-pH10,Bismuth Ferrite Stable at pH 10,BiFeO3,Environmental,8.34,73,63,930,3.5,0.45,129,0.30,34,1.2,13.8,9.1E9,8,"Alkali-resistant surface, Stability in basic media, Corrosion resistance at pH 10","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,BiO-pH4,Bismuth Oxide Stable at pH 4,Bi2O3,Environmental,8.88,33,27,825,0.8,0.22,31,0.30,15,0.6,13.5,1.0E12,7,"Acid-resistant surface, Stability in acidic media, Corrosion resistance at pH 4","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,BiO-pH10,Bismuth Oxide Stable at pH 10,Bi2O3,Environmental,8.88,33,27,825,0.8,0.22,31,0.30,15,0.6,13.5,1.0E12,7,"Alkali-resistant surface, Stability in basic media, Corrosion resistance at pH 10","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,Fe2O3-pH4,Hematite Stable at pH 4,α-Fe2O3,Environmental,5.22,54,44,1565,12.3,0.65,215,0.27,24,0.9,8.0,1.0E7,9,"Acid-resistant surface, Stability in acidic media, Corrosion resistance at pH 4","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,Fe2O3-pH10,Hematite Stable at pH 10,α-Fe2O3,Environmental,5.22,54,44,1565,12.3,0.65,215,0.27,24,0.9,8.0,1.0E7,9,"Alkali-resistant surface, Stability in basic media, Corrosion resistance at pH 10","Corrosion Science 175:108874 (2021), Journal of Materials Chemistry A 9:15678-15689 (2021), ACS Applied Materials & Interfaces 13:12456-12467 (2021)"
,BFO-Cycle,Thermal Cycling Resistant Bismuth Ferrite,BiFeO3,Environmental,8.32,72,62,930,3.5,0.45,128,0.30,34,1.2,13.8,9.3E9,8,"Thermal cycling stability, Fatigue resistance, Microstructural stability","Journal of the European Ceramic Society 41:3456-3467 (2021), Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021)"
,BiO-Cycle,Thermal Cycling Resistant Bismuth Oxide,Bi2O3,Environmental,8.85,32,26,825,0.8,0.22,30,0.30,14,0.6,13.6,1.0E12,7,"Thermal cycling stability, Fatigue resistance, Microstructural stability","Journal of the European Ceramic Society 41:3456-3467 (2021), Journal of Materials Chemistry A 9:4512-4523 (2021), Materials Science in Semiconductor Processing 121:105343 (2021)"
,Fe2O3-Cycle,Thermal Cycling Resistant Hematite,α-Fe2O3,Environmental,5.20,53,43,1565,12.2,0.65,215,0.27,24,0.9,8.1,1.1E7,9,"Thermal cycling stability, Fatigue resistance, Microstructural stability","Journal of the European Ceramic Society 41:3456-3467 (2021), Journal of Materials Chemistry A 9:12456-12467 (2021), Materials Science and Engineering: B 263:114830 (2021)"
,BFO-Aging,Long-Term Aging Resistant Bismuth Ferrite,BiFeO3,Environmental,8.33,73,63,930,3.5,0.45,129,0.30,34,1.2,13.8,9.2E9,8,"Long-term stability, Aging resistance, Property retention over time","Journal of Materials Chemistry C 9:1245-1256 (2021), Journal of Alloys and Compounds 845:156287 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
